,상권코드,서비스업종코드명,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
4184,2120186,패스트푸드점,9.0,11.0,1.0,0.0,42.0,2.0,1.0,3.0,0.0,2.0,3061.5,3152.0,1605691.5,773008.5,846745.5,204184.5,317761.5,301314,271894.5,225837.75,281144.0,318841,328662,203338.5,205087.5,278791.5,196905.75,232917,230677.5,231595.5,233140.875,233997.375,218028,214056,24010000.0,강남구
4188,2120186,양식음식점,16.5,19.5,1.0,1.0,42.0,2.0,1.0,3.0,0.0,2.0,3061.5,3152.0,1605691.5,773008.5,846745.5,204184.5,317761.5,301314,271894.5,225837.75,281144.0,318841,328662,203338.5,205087.5,278791.5,196905.75,232917,230677.5,231595.5,233140.875,233997.375,218028,214056,27356250.0,강남구
4190,2120186,커피-음료,16.5,19.5,1.0,1.0,42.0,2.0,1.0,3.0,0.0,2.0,3061.5,3152.0,1605691.5,773008.5,846745.5,204184.5,317761.5,301314,271894.5,225837.75,281144.0,318841,328662,203338.5,205087.5,278791.5,196905.75,232917,230677.5,231595.5,233140.875,233997.375,218028,214056,19780000.0,강남구
4192,2130223,육류판매,10.0,10.0,0.0,1.0,17.0,1.0,0.0,2.0,0.0,5.0,42.0,559.0,121647.0,58803.0,62843.0,16338.0,12489.0,15993,19319.0,21966.0,35542.0,24192,22869,15556.0,17115.0,25571.0,16343.0,17106,16782.0,17029.0,16553.0,16731.0,18869,18577,27356250.0,구로구
4199,2110253,패스트푸드점,0.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,181.0,3148.0,816786.0,399353.0,417432.0,144610.0,90641.0,113747,141583.0,132180.0,194025.0,254171,167410,81293.0,80506.0,121297.0,112108.0,116511,112674.0,113831.0,114065.0,113900.0,120045,125762,12490000.0,중랑구
4210,2130063,한식음식점,16.0,17.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,30.0,422.0,139663.0,61883.0,77779.0,23285.0,12961.0,23694,26043.0,20345.0,33335.0,30808,27839,17407.0,19653.0,27154.0,16800.0,19647,19167.0,19289.0,19280.0,19487.0,21299,21495,10990000.0,성동구
4214,2110320,호프-간이주점,1.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,72.0,810.0,286852.0,137874.0,148978.0,50967.0,60236.0,33752,38911.0,41469.0,61517.0,66609,64135,39844.0,37510.0,46085.0,32670.0,41690,42027.0,41501.0,41665.0,41289.0,38597,40081,16230000.0,성북구
4216,2110605,한식음식점,13.0,14.0,0.0,0.0,9.0,1.0,1.0,5.0,0.0,1.0,155.0,1104.0,95309.0,46933.0,48376.0,15649.0,9285.0,16659,15992.0,15425.0,22298.0,26572,19911,10341.0,10053.0,14903.0,13528.0,13708,13636.0,13587.0,13557.0,13512.0,13501,13810,26440000.0,양천구
4220,2110029,호프-간이주점,1.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,235.0,4618.5,1605691.5,773008.5,846745.5,204184.5,317761.5,301314,271894.5,225837.75,313294.125,383523,328662,203338.5,205087.5,278791.5,196905.75,232917,230677.5,231595.5,233140.875,233997.375,218028,214056,5020000.0,종로구
4223,2110029,분식전문점,3.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,235.0,4618.5,1605691.5,773008.5,846745.5,204184.5,317761.5,301314,271894.5,225837.75,313294.125,383523,328662,203338.5,205087.5,278791.5,196905.75,232917,230677.5,231595.5,233140.875,233997.375,218028,214056,4300000.0,종로구
