,상권코드,시군구명,서비스업종명,월예상매출,점수
2675,2120015,종로구,호프-간이주점,856.0,53.54
2676,2110267,중랑구,한식음식점,1731.0,76.26
2677,2110267,중랑구,호프-간이주점,1489.0,69.97
2678,2110267,중랑구,육류판매,1489.0,69.97
2679,2110935,서초구,분식전문점,927.0,55.38
2680,2110935,서초구,커피-음료,1049.0,58.55
2681,2120246,강동구,커피-음료,1406.0,67.82
2682,2120246,강동구,한식음식점,1497.0,70.18
2683,2120246,강동구,중식음식점,1356.0,66.52
2684,2120246,강동구,호프-간이주점,1225.0,63.12
2685,2120246,강동구,제과점,1036.0,58.21
2686,2120246,강동구,분식전문점,1419.0,68.16
2687,2120246,강동구,패스트푸드점,1165.0,61.56
2688,2120077,강북구,한식음식점,1169.0,61.66
2689,2120077,강북구,일식음식점,1095.0,59.74
2690,2120077,강북구,제과점,752.0,50.84
2691,2120077,강북구,중식음식점,934.0,55.56
2692,2120080,노원구,호프-간이주점,503.0,44.37
2693,2120080,노원구,치킨전문점,304.0,39.2
2694,2130273,동작구,양식음식점,1010.0,57.53
2695,2130273,동작구,패스트푸드점,867.0,53.82
2696,2130273,동작구,한식음식점,1121.0,60.42
2697,2120066,동대문구,분식전문점,1627.0,73.56
2698,2120066,동대문구,커피-음료,1482.0,69.79
2699,2120066,동대문구,한식음식점,1573.0,72.15
2700,2120066,동대문구,패스트푸드점,1198.0,62.42
2701,2120066,동대문구,치킨전문점,1313.0,65.4
2702,2120066,동대문구,일식음식점,1755.0,76.88
2703,2120066,동대문구,호프-간이주점,1496.0,70.15
2704,2120066,동대문구,중식음식점,1627.0,73.56
2705,2120211,강남구,분식전문점,1026.0,57.95
2706,2120211,강남구,일식음식점,956.0,56.13
2707,2120211,강남구,제과점,621.0,47.43
2708,2130053,중구,중식음식점,981.0,56.78
2709,2120245,강동구,한식음식점,1350.0,66.36
2710,2120245,강동구,양식음식점,1110.0,60.13
2711,2120245,강동구,호프-간이주점,1417.0,68.1
2712,2120245,강동구,일식음식점,1560.0,71.82
2713,2120245,강동구,제과점,943.0,55.79
2714,2120245,강동구,중식음식점,1110.0,60.13
2715,2120245,강동구,커피-음료,1242.0,63.56
2716,2130322,강동구,육류판매,541.0,45.36
2717,2130322,강동구,호프-간이주점,541.0,45.36
2718,2110562,마포구,커피-음료,1714.0,75.82
2719,2110562,마포구,한식음식점,1788.0,77.74
2720,2110080,용산구,커피-음료,1069.0,59.07
2721,2120006,종로구,제과점,1467.0,69.4
2722,2120006,종로구,분식전문점,1556.0,71.71
2723,2120006,종로구,일식음식점,1635.0,73.76
2724,2110654,강서구,한식음식점,1551.0,71.58
