,상권코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업율,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
29,2130161,한식음식점,11.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,148.0,17734,8310,9424,3766,2049,2746,2615,2855,3704,4886,3582,2110,2016,2815,2323,2541,2583,2552,2554,2561,2496,2447,6850000.0,은평구
30,2130161,육류판매,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,148.0,17734,8310,9424,3766,2049,2746,2615,2855,3704,4886,3582,2110,2016,2815,2323,2541,2583,2552,2554,2561,2496,2447,116370000.0,은평구
31,2110708,중식음식점,3.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,64.0,1126.0,378124,188271,189853,32217,48776,64647,65226,69120,98138,111426,75775,39402,39824,61899,49797,53261,51674,51287,51127,50608,57543,62625,9890000.0,구로구
32,2110708,호프-간이주점,4.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,64.0,1126.0,378124,188271,189853,32217,48776,64647,65226,69120,98138,111426,75775,39402,39824,61899,49797,53261,51674,51287,51127,50608,57543,62625,1700000.0,구로구
33,2110708,커피-음료,2.0,2.0,50.0,1.0,50.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,64.0,1126.0,378124,188271,189853,32217,48776,64647,65226,69120,98138,111426,75775,39402,39824,61899,49797,53261,51674,51287,51127,50608,57543,62625,880000.0,구로구
34,2110708,한식음식점,2.0,2.0,50.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,64.0,1126.0,378124,188271,189853,32217,48776,64647,65226,69120,98138,111426,75775,39402,39824,61899,49797,53261,51674,51287,51127,50608,57543,62625,27600000.0,구로구
35,2110708,분식전문점,3.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,64.0,1126.0,378124,188271,189853,32217,48776,64647,65226,69120,98138,111426,75775,39402,39824,61899,49797,53261,51674,51287,51127,50608,57543,62625,6680000.0,구로구
36,2110972,커피-음료,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2628.0,1921.0,311065,144104,166961,45991,51950,59926,62439,41658,49102,83794,70668,43332,38580,40247,34443,45725,46607,46315,45718,44923,39931,41845,10360000.0,강남구
37,2110972,치킨전문점,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2628.0,1921.0,311065,144104,166961,45991,51950,59926,62439,41658,49102,83794,70668,43332,38580,40247,34443,45725,46607,46315,45718,44923,39931,41845,15630000.0,강남구
38,2110972,한식음식점,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2628.0,1921.0,311065,144104,166961,45991,51950,59926,62439,41658,49102,83794,70668,43332,38580,40247,34443,45725,46607,46315,45718,44923,39931,41845,9820000.0,강남구
