,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명,서비스업종명,월예상매출
12436,13.5,16.5,0.0,1.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1401808.0,744519.0,657289.0,201150.75,172815,200860,257650.0,174137.0,151902.0,271749.0,281402.0,203391,204755.25,273410.0,144479.0,203805.0,202984.0,204958,211126.0,210219.0,188777.0,179940.0,6.0,강남구,커피-음료,3.0
12437,5.0,5.0,0.0,0.0,11.0,0.0,1.0,5.0,0.0,1.0,2779.0,3789.0,1401808.0,744519.0,657289.0,201150.75,172815,200860,257650.0,174137.0,151902.0,271749.0,281402.0,203391,204755.25,273410.0,144479.0,203805.0,202984.0,204958,211126.0,210219.0,188777.0,179940.0,7.0,강남구,중식음식점,3.0
12441,13.5,16.5,1.0,1.0,78.0,1.0,1.0,4.0,0.0,6.0,3226.5,976.0,1171034.0,549024.0,622009.0,79891.0,277282,290973,229411.0,135096.0,127781.0,116734.0,208943.0,203391,204755.25,265879.0,94697.0,161997.0,173182.0,176241,187828.0,190235.0,160946.0,120605.0,7.0,강남구,커피-음료,3.0
12442,13.5,16.5,1.0,1.0,78.0,1.0,1.0,4.0,0.0,6.0,3226.5,976.0,1171034.0,549024.0,622009.0,79891.0,277282,290973,229411.0,135096.0,127781.0,116734.0,208943.0,203391,204755.25,265879.0,94697.0,161997.0,173182.0,176241,187828.0,190235.0,160946.0,120605.0,7.0,강남구,한식음식점,1.0
12443,13.5,16.5,1.0,1.0,78.0,1.0,1.0,4.0,0.0,6.0,3226.5,976.0,1171034.0,549024.0,622009.0,79891.0,277282,290973,229411.0,135096.0,127781.0,116734.0,208943.0,203391,204755.25,265879.0,94697.0,161997.0,173182.0,176241,187828.0,190235.0,160946.0,120605.0,7.0,강남구,양식음식점,3.0
12444,13.5,16.5,1.0,0.0,78.0,1.0,1.0,4.0,0.0,6.0,3226.5,976.0,1171034.0,549024.0,622009.0,79891.0,277282,290973,229411.0,135096.0,127781.0,116734.0,208943.0,203391,204755.25,265879.0,94697.0,161997.0,173182.0,176241,187828.0,190235.0,160946.0,120605.0,7.0,강남구,일식음식점,3.0
12447,9.0,10.0,1.0,1.0,36.0,4.0,1.0,10.0,0.0,3.0,3226.5,1346.0,707571.0,366288.0,341282.0,56505.0,130331,181853,155354.0,88619.0,94910.0,121585.0,149306.0,122406,122047.0,125420.0,66807.0,109251.0,108322.0,109486,116250.0,113561.0,79722.0,70981.0,4.0,강남구,중식음식점,5.0
12448,13.5,16.5,1.0,1.0,36.0,4.0,1.0,10.0,0.0,3.0,3226.5,1346.0,707571.0,366288.0,341282.0,56505.0,130331,181853,155354.0,88619.0,94910.0,121585.0,149306.0,122406,122047.0,125420.0,66807.0,109251.0,108322.0,109486,116250.0,113561.0,79722.0,70981.0,7.0,강남구,한식음식점,1.0
12449,13.5,16.5,0.0,0.0,36.0,4.0,1.0,10.0,0.0,3.0,3226.5,1346.0,707571.0,366288.0,341282.0,56505.0,130331,181853,155354.0,88619.0,94910.0,121585.0,149306.0,122406,122047.0,125420.0,66807.0,109251.0,108322.0,109486,116250.0,113561.0,79722.0,70981.0,2.0,강남구,분식전문점,5.0
12450,13.5,16.5,0.0,0.0,36.0,4.0,1.0,10.0,0.0,3.0,3226.5,1346.0,707571.0,366288.0,341282.0,56505.0,130331,181853,155354.0,88619.0,94910.0,121585.0,149306.0,122406,122047.0,125420.0,66807.0,109251.0,108322.0,109486,116250.0,113561.0,79722.0,70981.0,5.0,강남구,커피-음료,3.0
12451,7.0,7.0,0.0,0.0,36.0,4.0,1.0,10.0,0.0,3.0,3226.5,1346.0,707571.0,366288.0,341282.0,56505.0,130331,181853,155354.0,88619.0,94910.0,121585.0,149306.0,122406,122047.0,125420.0,66807.0,109251.0,108322.0,109486,116250.0,113561.0,79722.0,70981.0,0.0,강남구,양식음식점,5.0
12453,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,242.0,1142.0,362410.0,182511.0,179900.0,18755.0,80492,91098,70336.0,47483.0,54245.0,61872.0,68503.0,54141,56146.0,79811.0,41938.0,52818.0,53081.0,53408,56046.0,56738.0,48574.0,41745.0,2.0,강남구,치킨전문점,1.0
12454,7.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,242.0,1142.0,362410.0,182511.0,179900.0,18755.0,80492,91098,70336.0,47483.0,54245.0,61872.0,68503.0,54141,56146.0,79811.0,41938.0,52818.0,53081.0,53408,56046.0,56738.0,48574.0,41745.0,7.0,강남구,일식음식점,3.0
12455,4.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,242.0,1142.0,362410.0,182511.0,179900.0,18755.0,80492,91098,70336.0,47483.0,54245.0,61872.0,68503.0,54141,56146.0,79811.0,41938.0,52818.0,53081.0,53408,56046.0,56738.0,48574.0,41745.0,3.0,강남구,양식음식점,1.0
12456,5.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,242.0,1142.0,362410.0,182511.0,179900.0,18755.0,80492,91098,70336.0,47483.0,54245.0,61872.0,68503.0,54141,56146.0,79811.0,41938.0,52818.0,53081.0,53408,56046.0,56738.0,48574.0,41745.0,3.0,강남구,호프-간이주점,1.0
12462,13.5,16.5,0.0,1.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,6.0,강남구,분식전문점,3.0
12463,13.5,16.5,1.0,0.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,7.0,강남구,한식음식점,3.0
12464,7.0,10.0,0.0,0.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,2.0,강남구,제과점,0.0
12465,6.0,6.0,0.0,0.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,7.0,강남구,중식음식점,3.0
12466,13.0,14.0,1.0,0.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,7.0,강남구,호프-간이주점,3.0
12467,13.5,16.0,1.0,1.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,5.0,강남구,일식음식점,3.0
12468,2.0,9.0,0.0,0.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,6.0,강남구,치킨전문점,3.0
12469,13.0,16.5,0.0,1.0,72.0,4.0,1.0,14.0,2.0,8.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,205227.0,223523.0,344048.0,327004.5,203391,204755.25,277593.375,178205.0,228691.5,230372.625,230721,230492.25,229510.5,207999.0,196932.0,1.0,강남구,패스트푸드점,3.0
